0.042966	0.79646
0.043437	0.78397
0.044271	0.7715
0.045472	0.75906
0.047042	0.74666
0.048986	0.73431
0.051308	0.72203
0.05401	0.70983
0.057094	0.69772
0.060564	0.68571
0.064422	0.67382
0.068671	0.66206
0.073313	0.65045
0.078348	0.63901
0.083778	0.62775
0.089603	0.61669
0.095824	0.60585
0.10244	0.59524
0.10945	0.58489
0.11685	0.57482
0.12464	0.56504
0.13281	0.55558
0.14136	0.54646
0.15028	0.5377
0.15956	0.52932
0.16918	0.52134
0.17914	0.51378
0.18942	0.50666
0.2	0.5
0.21058	0.49334
0.22143	0.48714
0.23254	0.4814
0.24388	0.47614
0.25544	0.47137
0.26719	0.4671
0.27911	0.46333
0.29118	0.46006
0.30337	0.4573
0.31566	0.45504
0.32804	0.45328
0.34048	0.45202
0.35296	0.45125
0.36546	0.45096
0.37796	0.45114
0.39044	0.45179
0.40289	0.4529
0.41529	0.45445
0.42763	0.45644
0.43989	0.45886
0.45206	0.4617
0.46413	0.46494
0.47609	0.46858
0.48792	0.47261
0.49962	0.47702
0.51117	0.4818
0.52256	0.48694
0.53379	0.49243
0.54484	0.49827
0.55571	0.50444
0.56639	0.51094
0.57686	0.51776
0.58712	0.5249
0.59716	0.53234
0.60698	0.54008
0.61656	0.54811
0.6259	0.55642
0.63498	0.56501
0.6438	0.57387
0.65235	0.58299
0.66063	0.59236
0.66862	0.60197
0.67632	0.61182
0.68372	0.6219
0.69081	0.6322
0.69758	0.64271
0.70403	0.65342
0.71015	0.66432
0.71593	0.6754
0.72136	0.68666
0.72644	0.69808
0.73116	0.70965
0.73551	0.72137
0.73949	0.73322
0.7431	0.74519
0.74632	0.75727
0.74915	0.76944
0.75159	0.7817
0.75363	0.79403
